NAMESPACE       NAME                                        READY   STATUS    RESTARTS   AGE     IP            NODE          NOMINATED NODE   READINESS GATES
buyflow         buyflow-backend-6dddd6dd89-ldg5x            1/1     Running   0          4d16h   10.0.10.81    10.0.10.200   <none>           <none>
buyflow         buyflow-frontend-7c67d56995-m6k75           1/1     Running   0          4d16h   10.0.10.232   10.0.10.200   <none>           <none>
buyflow         buyflow-frontend-7c67d56995-pfx9h           1/1     Running   0          4d16h   10.0.10.141   10.0.10.200   <none>           <none>
cert-manager    cert-manager-67bd5b55cc-2wqw2               1/1     Running   0          10d     10.0.10.19    10.0.10.200   <none>           <none>
cert-manager    cert-manager-cainjector-d87ffb78f-g7xvf     1/1     Running   0          10d     10.0.10.37    10.0.10.200   <none>           <none>
cert-manager    cert-manager-webhook-5548dcfb4d-dmghl       1/1     Running   0          10d     10.0.10.244   10.0.10.200   <none>           <none>
ingress-nginx   ingress-nginx-controller-5cd9869bf8-6wtlt   1/1     Running   0          10d     10.0.10.43    10.0.10.200   <none>           <none>
kube-system     coredns-69dbd5cbd7-lr6kz                    1/1     Running   0          11d     10.0.10.107   10.0.10.200   <none>           <none>
kube-system     csi-oci-node-sfwsm                          1/1     Running   0          11d     10.0.10.200   10.0.10.200   <none>           <none>
kube-system     kube-dns-autoscaler-6f79448b9b-knvhw        1/1     Running   0          11d     10.0.10.110   10.0.10.200   <none>           <none>
kube-system     kube-proxy-grdgd                            1/1     Running   0          11d     10.0.10.200   10.0.10.200   <none>           <none>
kube-system     oke-dataplane-observability-agent-zs9fh     2/2     Running   0          11d     10.0.10.200   10.0.10.200   <none>           <none>
kube-system     oke-node-problem-detector-cznm8             1/1     Running   0          11d     10.0.10.106   10.0.10.200   <none>           <none>
kube-system     proxymux-client-7mhvh                       1/1     Running   0          11d     10.0.10.200   10.0.10.200   <none>           <none>
kube-system     vcn-native-ip-cni-khpmm                     2/2     Running   0          11d     10.0.10.200   10.0.10.200   <none>           <none>
