NAMESPACE       NAME                                 TYPE           CLUSTER-IP      EXTERNAL-IP     PORT(S)                      AGE   SELECTOR
buyflow         buyflow-backend-service              ClusterIP      10.96.121.157   <none>          8080/TCP                     10d   app=buyflow-backend
buyflow         buyflow-frontend-service             ClusterIP      10.96.215.68    <none>          3000/TCP                     10d   app=buyflow-frontend
cert-manager    cert-manager                         ClusterIP      10.96.238.124   <none>          9402/TCP                     10d   app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
cert-manager    cert-manager-cainjector              ClusterIP      10.96.79.215    <none>          9402/TCP                     10d   app.kubernetes.io/component=cainjector,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cainjector
cert-manager    cert-manager-webhook                 ClusterIP      10.96.254.230   <none>          443/TCP,9402/TCP             10d   app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
default         kubernetes                           ClusterIP      10.96.0.1       <none>          443/TCP,12250/TCP            11d   <none>
ingress-nginx   ingress-nginx-controller             LoadBalancer   10.96.239.242   168.110.117.4   80:31713/TCP,443:32154/TCP   10d   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
ingress-nginx   ingress-nginx-controller-admission   ClusterIP      10.96.238.199   <none>          443/TCP                      10d   app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
kube-system     kube-dns                             ClusterIP      10.96.5.5       <none>          53/UDP,53/TCP,9153/TCP       11d   k8s-app=kube-dns
kube-system     oke-nvidia-dcgm-exporter             ClusterIP      10.96.119.0     <none>          9400/TCP                     11d   k8s-app=oke-nvidia-dcgm-exporter
